"","Date","Ring","Species","Age","Sex","Pit","Num.caught","PIT.year","hatch.year","Age.in.2021"
"1",2019-11-13,"C3T0918","GRETI",6,"M","01001786C5",1,2019,2017,"adult"
"4",2016-10-22,"C3L9818","NUTHA",2,"F","010799F8DC",2,2016,2016,"adult"
"5",2016-11-17,"C3L9818","NUTHA",2,"F","010799F8DC",2,2016,2016,"adult"
"8",2017-02-03,"C3T0118","GRETI",6,"F","010799F947",1,2017,2015,"adult"
"10",2018-05-15,"C3T0227","GRETI",6,"F","0110170C37",1,2018,2016,"adult"
"11",2017-12-01,"C3T0265","GRETI",3,"F","0110175B4D",2,2017,2017,"adult"
"12",2018-08-16,"C3T0265","GRETI",4,"F","0110175B4D",2,2018,2017,"adult"
"14",2019-09-19,"C3T0861","GRETI",4,"M","0110175BD7",4,2019,2018,"adult"
"15",2019-10-11,"C3T0861","GRETI",3,"M","0110175BD7",4,2019,2019,"adult"
"16",2020-11-10,"C3T0861","GRETI",4,"M","0110175BD7",4,2020,2019,"adult"
"17",2018-01-10,"B4R7271","MARTI",5,"U","0110175BDC",1,2018,2017,"adult"
"19",2019-02-27,"C3T0362","GRETI",5,"M","0110175C6B",3,2019,2018,"adult"
"20",2019-07-10,"C3T0362","GRETI",4,"M","0110175C6B",3,2019,2018,"adult"
"21",2017-12-01,"C3T0276","GRETI",3,"M","0110175D00",1,2017,2017,"adult"
"23",2019-07-10,"C3T0866","GRETI",3,"","0110175E30",3,2019,2019,"adult"
"24",2019-11-13,"C3T0866","GRETI",6,"M","0110175E30",3,2019,2017,"adult"
"25",2019-01-14,"C3T0708","GRETI",6,"M","0110175E32",1,2019,2017,"adult"
"26",2018-07-12,"C3T0103","NUTHA",4,"F","0110175E33",3,2018,2017,"adult"
"27",2018-10-25,"C3T0103","NUTHA",6,"M","0110175E33",3,2018,2016,"adult"
"28",2019-02-14,"C3T0103","NUTHA",6,"M","0110175E33",3,2019,2017,"adult"
"29",2017-11-29,"C3T0261","GRETI",3,"M","0110175EC0",2,2017,2017,"adult"
"30",2017-12-09,"C3T0261","GRETI",3,"M","0110175EC0",2,2017,2017,"adult"
"31",2018-01-10,"C3T0326","GRETI",5,"M","0110175EC4",1,2018,2017,"adult"
"32",2017-01-29,"CL41359","GRETI",6,"M","0110175EC8",1,2017,2015,"adult"
"33",2016-11-22,"C3T0079","GRETI",4,"F","0110175F69",1,2016,2015,"adult"
"34",2019-03-08,"C3T0804","GRETI",5,"F","0110176007",1,2019,2018,"adult"
"35",2019-11-27,"B4R7637","BLUTI",5,"F","0110176099",1,2019,2018,"adult"
"36",2018-01-10,"B4R7274","BLUTI",5,"F","011017609F",1,2018,2017,"adult"
"38",2018-10-31,"C3T0667","GRETI",5,"F","0110176143",2,2018,2017,"adult"
"39",2019-02-27,"C3T0667","GRETI",5,"F","0110176143",2,2019,2018,"adult"
"40",2018-12-13,"C3T0682","GRETI",5,"M","0110176144",3,2018,2017,"adult"
"41",2019-02-25,"C3T0682","GRETI",6,"M","0110176144",3,2019,2017,"adult"
"42",2020-02-10,"C3T0682","GRETI",6,"M","0110176144",3,2020,2018,"adult"
"43",2017-12-01,"C3T0154","GRETI",3,"F","011017627C",1,2017,2017,"adult"
"44",2018-01-25,"C3T0348","GRETI",6,"F","01101763D3",1,2018,2016,"adult"
"49",2019-07-25,"C3T0922","GRETI",3,"","0110176514",2,2019,2019,"adult"
"50",2019-01-10,"C3T0700","GRETI",5,"M","011017651C",1,2019,2018,"adult"
"51",2019-02-22,"C3T0783","GRETI",5,"M","0110176520",3,2019,2018,"adult"
"52",2019-03-07,"C3T0783","GRETI",5,"M","0110176520",3,2019,2018,"adult"
"53",2019-10-23,"C3T0783","GRETI",6,"M","0110176520",3,2019,2017,"adult"
"56",2016-11-23,"C3T0002","GRETI",3,"M","01101765BB",3,2016,2016,"adult"
"57",2016-11-24,"C3T0002","GRETI",3,"M","01101765BB",3,2016,2016,"adult"
"58",2018-05-22,"C3T0002","GRETI",5,"M","01101765BB",3,2018,2017,"adult"
"59",2017-02-04,"C3L9897","GRETI",5,"M","01101765BE",1,2017,2016,"adult"
"64",2019-05-11,"C3T0835","GRETI",5,"F","0110176664",2,2019,2018,"adult"
"65",2019-11-13,"C3T0835","GRETI",6,"F","0110176664",2,2019,2017,"adult"
"68",2019-01-10,"C3T0701","GRETI",5,"F","0110176677",1,2019,2018,"adult"
"70",2017-12-01,"C3T0274","GRETI",3,"M","0110176719",2,2017,2017,"adult"
"71",2017-12-09,"C3T0274","GRETI",3,"M","0110176719",2,2017,2017,"adult"
"72",2019-05-17,"C3T0934","GRETI",6,"F","01101767BF",1,2019,2017,"adult"
"73",2019-01-18,"C3T0735","GRETI",5,"F","01101767CC",1,2019,2018,"adult"
"76",2019-07-10,"C3T0910","GRETI",3,"","011017686F",2,2019,2019,"adult"
"77",2017-01-29,"C3T0110","GRETI",5,"M","0110176878",1,2017,2016,"adult"
"79",2019-09-04,"B4R7576","BLUTI",4,"F","011017691B",2,2019,2018,"adult"
"80",2020-05-08,"B4R7576","BLUTI",6,"F","011017691B",2,2020,2018,"adult"
"82",2018-05-09,"C3T0353","GRETI",5,"M","0110176923",1,2018,2017,"adult"
"84",2019-01-16,"C3T0717","GRETI",5,"M","0110176928",1,2019,2018,"adult"
"85",2017-01-29,"C3T0109","GRETI",5,"F","0110176938",2,2017,2016,"adult"
"86",2017-12-01,"C3T0109","GRETI",4,"F","0110176938",2,2017,2016,"adult"
"87",2018-05-15,"C3T0355","GRETI",5,"M","01101769C5",1,2018,2017,"adult"
"88",2018-01-21,"C3T0330","GRETI",5,"F","01101769CF",3,2018,2017,"adult"
"89",2018-07-09,"C3T0330","GRETI",4,"","01101769CF",3,2018,2017,"adult"
"90",2018-10-05,"C3T0330","GRETI",6,"F","01101769CF",3,2018,2016,"adult"
"91",2017-05-04,"CX22198","GRETI",6,"M","01101769D0",1,2017,2015,"adult"
"92",2017-05-04,"C3T0140","GRETI",5,"M","01101769E9",1,2017,2016,"adult"
"93",2019-01-18,"C3T0731","GRETI",5,"M","0110176A78",1,2019,2018,"adult"
"94",2017-02-11,"C3T0123","GRETI",5,"F","0110176A80",2,2017,2016,"adult"
"95",2017-12-09,"C3T0123","GRETI",4,"F","0110176A80",2,2017,2016,"adult"
"96",2018-05-15,"C3T0405","GRETI",5,"F","0110176A83",1,2018,2017,"adult"
"97",2018-10-18,"B4R7414","BLUTI",5,"","0110176A84",1,2018,2017,"adult"
"98",2018-05-17,"B4R7311","BLUTI",6,"","0110176A8C",1,2018,2016,"adult"
"102",2017-12-01,"C3T0162","GRETI",3,"F","0110176AA8",3,2017,2017,"adult"
"103",2017-12-09,"C3T0162","GRETI",3,"F","0110176AA8",3,2017,2017,"adult"
"105",2019-02-19,"C3T0768","GRETI",5,"F","0110176B32",1,2019,2018,"adult"
"106",2017-12-01,"C3T0270","GRETI",3,"F","0110176B40",1,2017,2017,"adult"
"107",2017-11-08,"C3T0225","GRETI",3,"F","0110176B54",1,2017,2017,"adult"
"108",2019-01-18,"C3T0733","GRETI",5,"F","0110176BD9",1,2019,2018,"adult"
"109",2017-12-09,"C3T0286","GRETI",3,"M","0110176BDC",4,2017,2017,"adult"
"110",2018-01-09,"C3T0286","GRETI",5,"M","0110176BDC",4,2018,2017,"adult"
"111",2018-01-10,"C3T0286","GRETI",5,"M","0110176BDC",4,2018,2017,"adult"
"112",2018-01-10,"C3T0286","GRETI",5,"M","0110176BDC",4,2018,2017,"adult"
"113",2019-01-10,"C3T0693","GRETI",5,"F","0110176BE4",1,2019,2018,"adult"
"114",2017-12-01,"C3T0272","GRETI",3,"F","0110176BE5",2,2017,2017,"adult"
"115",2018-01-09,"C3T0272","GRETI",6,"F","0110176BE5",2,2018,2016,"adult"
"118",2019-02-12,"C3T0752","GRETI",5,"F","0110176C8B",1,2019,2018,"adult"
"120",2019-01-10,"C3T0699","GRETI",6,"M","0110176C9C",1,2019,2017,"adult"
