"species","solver","num.solves"
"0110177D14","BLUTI","no",0
"0110177E84","BLUTI","no",0
"0110178377","BLUTI","no",0
"0110178777","BLUTI","no",0
"01101789D3","GRETI","no",0
"0110178A50","BLUTI","no",0
"0110178AC7","BLUTI","no",0
"0110178B17","BLUTI","no",0
"0110178C55","GRETI","no",0
"0110178C68","BLUTI","no",0
"0110178CB2","BLUTI","no",0
"0110178DF3","BLUTI","no",0
"0110178FEE","BLUTI","no",0
"0110179020","BLUTI","no",0
"0110179079","BLUTI","no",0
"01101790DE","BLUTI","no",0
"011017910A","BLUTI","no",0
"01101791BD","BLUTI","no",0
"0110179204","MARTI","no",0
"0110179278","BLUTI","no",0
"01101792B0","BLUTI","no",0
"01101792C9","BLUTI","no",0
"01101792FE","BLUTI","no",0
"0110179331","BLUTI","no",0
"0110179336","BLUTI","no",0
"011017934F","BLUTI","no",0
"01101793C9","BLUTI","no",0
"0110179475","BLUTI","no",0
"011017949A","BLUTI","no",0
"0110179579","BLUTI","no",0
"01101795AC","BLUTI","no",0
"0110179651","BLUTI","no",0
"0110179654","BLUTI","no",0
"0110179655","BLUTI","no",0
"0110179674","BLUTI","no",0
"01101796DB","BLUTI","no",0
"0110179793","BLUTI","no",0
"0110179816","BLUTI","no",0
"01101798CE","BLUTI","no",0
"0110179965","MARTI","no",0
"0110179993","BLUTI","no",0
"0110179994","BLUTI","no",0
"0110179BC3","BLUTI","no",0
"0110179C66","BLUTI","no",0
"0110179E0F","BLUTI","no",0
"0110179E15","BLUTI","no",0
"0110179EA3","BLUTI","no",0
"011017A0D3","BLUTI","no",0
"011017A15E","BLUTI","no",0
"011017A1C8","BLUTI","no",0
"011017A3B8","BLUTI","no",0
"011017A492","BLUTI","no",0
"011017A4A2","BLUTI","no",0
"011017A5C7","BLUTI","no",0
"011017A61E","BLUTI","no",0
"011017A624","BLUTI","no",0
"011017A767","BLUTI","no",0
"030002783C","BLUTI","no",0
"0700ED89F2","GRETI","no",0
"0700ED8D5B","GRETI","solver_left",7
"0700ED8ED5","BLUTI","no",0
"0700ED8EDB","GRETI","solver_left",24
"0700ED8FBE","GRETI","solver_left",965
"0700ED9037","GRETI","no",0
"0700ED90A2","GRETI","no",0
"0700ED921A","GRETI","solver_left",7
"0700ED9390","GRETI","solver_left",9
"0700ED94A2","GRETI","no",0
"0700ED9CD4","GRETI","solver_left",578
"0700ED9D7A","GRETI","no",0
"0700ED9D83","GRETI","solver_left",6
"0700ED9DE3","GRETI","no",0
"0700ED9EAE","GRETI","solver_left",6
"0700EDA102","GRETI","no",0
"0700EDA205","GRETI","no",0
"0700EDA306","GRETI","no",0
"0700EDA500","GRETI","no",0
"0700EDA79C","GRETI","no",0
"0700EDA852","GRETI","no",0
"0700EDAED2","GRETI","no",0
"0700EDAF7E","GRETI","no",0
"0700EDB068","GRETI","no",0
"0700EDB0FC","GRETI","no",0
"0700EDB120","GRETI","no",0
"0700EDB170","GRETI","no",0
"0700EDB271","GRETI","no",0
"0700EDB3D5","GRETI","tutor",964
"0700EDB593","GRETI","solver_left",10
"0700EDB613","GRETI","no",0
"0700EDB629","GRETI","no",0
"0700EDB666","GRETI","no",0
"0700EDB85C","GRETI","no",0
"0700EDB9C8","GRETI","solver_left",29
"0700EDBB20","GRETI","no",0
"0700EDBD71","GRETI","solver_left",846
"0700EDC082","GRETI","no",0
"0700EDC0BC","GRETI","no",0
"0700EDC287","GRETI","solver_left",5
"0700EDC2FB","GRETI","no",0
"0700EDC32E","GRETI","no",0
"0700EDC60F","GRETI","solver_right",3
"0700EDC9AC","GRETI","no",0
"0700EDCE95","GRETI","solver_left",7
"0700EDD057","GRETI","no",0
"0700EDD1E0","GRETI","no",0
"0700EDD4EE","GRETI","no",0
