"PIT" "total_left" "total_right" "total_solves" "visits_10_days_prior" "solves_10_days_prior" "present_after" "num_visits_after" "solves_after" "tutor" "preferred_side_prior" "pref_strength" "latency.first.solve" "latency.rate.reached" "censored.first.solve" "censored.rate" "solve.rate.prior" "solve.rate.after.total" "solve.rate.in.block" "solve.rate.after.rate.reached" "summed.strength" "site" "age" "species" "sex"
"1" "0700ED8EDB" 13 6 19 254 7 "yes" 141 4 "no" "left" 0.87 35 35 1 1 0.03 0.03 0.07 0.04 0.918432628328257 "Mettnau" "first.year" "GRETI" "M"
"2" "0700ED8FBE" 566 1624 2190 869 778 "yes" 1389 1232 "no" "left" 0.6 1 1 1 1 0.9 0.89 0.85 0.89 0.801009537762129 "Mettnau" "adult" "GRETI" "M"
"3" "0700ED9CD4" 549 923 1472 668 518 "yes" 870 904 "no" "left" 0.97 4 4 1 1 0.78 1.04 0.82 1.04 0.213040604883338 "Mettnau" "adult" "GRETI" "M"
"4" "0700EDB3D5" 955 207 1162 477 340 "yes" 266 207 "yes" "left" 1 17 17 1 1 0.71 0.78 1.15 0.83 0.819709702990587 "Mettnau" "first.year" "GRETI" "F"
"5" "0700EDB593" 1 6 7 167 4 "yes" 63 2 "no" "right" 0.8 23 23 1 1 0.02 0.03 0.05 0.05 0.818146406164839 "Mettnau" "adult" "GRETI" "M"
"6" "0700EDB9C8" 24 985 1009 133 18 "yes" 1040 985 "no" "left" 0.96 1 1 1 1 0.14 0.95 0.88 0.95 0.255992680424306 "Mettnau" "first.year" "GRETI" "M"
"7" "0700EDEF96" 96 765 861 309 173 "yes" 732 669 "no" "left" 0.55 2 2 1 1 0.56 0.91 0.95 0.92 0.576979129943874 "Mettnau" "first.year" "GRETI" "M"
"8" "0700EE261C" 1898 559 2457 457 336 "yes" 675 550 "yes" "left" 1 1 1 1 1 0.74 0.81 0.85 0.81 0.612009782715921 "Mettnau" "adult" "GRETI" "F"
"9" "0700EE3E71" 71 133 204 157 69 "yes" 173 112 "yes" "left" 0.77 2 2 1 1 0.44 0.65 0.7 0.65 0.750214797153056 "Mettnau" "first.year" "GRETI" "F"
"10" "0700EE43AC" 4 17 21 200 4 "yes" 184 11 "no" "right" 0.6 18 18 1 1 0.02 0.06 0.1 0.07 0.773393906361384 "Mettnau" "first.year" "GRETI" "M"
